Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,E-COMMERCE BUDGET & TRACKING FRAMEWORK,,,,,,,,
,5-Site Portfolio | 12-Month Projection | Industry Benchmark Aligned,,,,,,,,
,"Created: January 28, 2026",,,,,,,,
,,,,,,,,,
,PORTFOLIO OVERVIEW,,,,,,,,
,,,,,,,,,
,GTSE.co.uk,,,,GTSEGroup.com,,,,SafetySignHub.co.uk
,Market: UK Market,,,,Market: Global,,,,Market: UK Market
,Focus: B2B Safety Signs,,,,Focus: Corporate Portal,,,,Focus: B2C Safety Signs
,Status: Mature,,,,Status: Launch,,,,Status: Growth
,,,,,,,,,
,,,,,,,,,
,SafetySignHub.com,,,,Epha.com,,,,
,Market: USA Market,,,,Market: Global,,,,
,Focus: B2C Safety Signs,,,,Focus: Premium Safety Equipment,,,,
,Status: Launch,,,,Status: Beta,,,,
,,,,,,,,,
,,,,,,,,,
,WORKBOOK NAVIGATION,,,,,,,,
,,,,,,,,,
,Dashboard,,Executive summary and key metrics overview,,,,,,
,Assumptions,,Industry benchmarks and adjustable KPI assumptions,,,,,,
,GTSE.co.uk,,UK B2B site - 12-month financial projection,,,,,,
,GTSEGroup.com,,Global corporate portal - launch projections,,,,,,
,SSH UK,,UK B2C site - growth trajectory,,,,,,
,SSH USA,,USA B2C site - market entry plan,,,,,,
,Epha.com,,Premium equipment - beta to launch,,,,,,
,Consolidated,,Portfolio-wide aggregated view,,,,,,
,Operations,,"Team structure, costs, and milestones",,,,,,
,Glossary,,E-commerce metrics explained,,,,,,
,,,,,,,,,
,,,,,,,,,
,12-MONTH PORTFOLIO TARGETS (Consolidated),,,,,,,,
,,,,,,,,,
,Total Revenue,,"£1,847,500",,Based on industry benchmarks,,,,
,Total Orders,,"18,450",,Across all 5 sites,,,,
,Marketing Spend,,"£485,000",,Paid + operational,,,,
,Gross Profit,,"£739,000",,40% average margin,,,,
,Portfolio ROAS,,3.8x,,Return on ad spend,,,,
,Break-even Month,,Month 7,,Epha.com extends timeline,,,,
,,,,,,,,,
,,,,,,,,,
,IMPORTANT NOTES,,,,,,,,
,,,,,,,,,
,• Blue text = Input/Assumption values (editable),,,,,,,,
,• Black text = Calculated values (formulas),,,,,,,,
,• All currency values in GBP (£) unless noted,,,,,,,,
,• Assumptions based on e-commerce industry benchmarks (see Assumptions sheet),,,,,,,,
,• Monthly review recommended - update actuals vs projections,,,,,,,,
